recomend a job	recommend a job
a solider in battle	a soldier in battle
advanced techology	advanced technology
becuase you said it	because you said it
struck by lighning	struck by lightning
al the best	all the best
braek a leg	break a leg
a prson of authority	a person of authority
lve thy neighbor	love thy neighbor
ods must be crazy	gods must be crazy
born ree	born free
ting like a bee	sting like a bee
sining in the rain	singing in the rain
scorcing heat	scorching heat
die nother day	die another day
hart is beating	heart is beating
state of the nion	state of the union
ade to dark	fade to dark
on speaking terms	on speaking terms
live happiy ever after	live happily ever after
looosing the plot	losing the plot
waer and tear	wear and tear
ime of my life	time of my life
survival of the sittest	survival of the fittest
a tase of your own medicine	a   taste of your own medicine
buring the treasure	burying the treasure
in no ceratin terms	in no certain terms
lost in tranlation	lost in translation
